start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget
1402647172406,1402647172906,0,3,0,0,0,0,0
1402647172906,1402647173406,0,0,0,2,0,0,2
1402647173406,1402647173906,0,0,0,3,0,0,0
1402647173906,1402647174406,0,0,0,2,0,0,0
1402647174406,1402647174906,0,1,0,1,0,0,0
1402647174906,1402647175406,0,7,0,0,0,0,1
1402647175406,1402647175906,0,6,0,0,0,0,1
1402647175906,1402647176406,0,1,0,0,0,0,0
1402647176406,1402647176906,0,0,0,0,0,0,1
1402647176906,1402647177406,0,0,0,0,0,0,0
1402647177406,1402647177906,0,0,0,0,0,0,0
1402647177906,1402647178406,0,0,0,0,1,0,0
1402647178406,1402647178906,0,0,0,0,0,0,0
1402647178906,1402647179406,0,0,0,0,0,0,3
1402647179406,1402647179906,0,0,0,0,0,0,1
1402647179906,1402647180406,0,0,0,0,0,0,0
1402647180406,1402647180906,0,0,0,0,0,0,0
1402647180906,1402647181406,0,0,0,0,0,1,0
1402647181406,1402647181906,0,0,0,0,0,0,1
1402647181906,1402647182406,0,0,0,0,0,1,1
1402647182406,1402647182906,0,0,0,0,0,0,0
1402647182906,1402647183406,0,0,0,0,0,0,1
1402647183406,1402647183906,0,0,0,0,0,0,0
1402647183906,1402647184406,0,0,0,0,0,1,0
1402647184406,1402647184906,0,0,0,0,0,2,0
1402647184906,1402647185406,0,0,0,0,1,0,1
1402647185406,1402647185906,0,0,0,0,1,1,1
1402647185906,1402647186406,0,0,0,0,0,0,0
1402647186406,1402647186906,0,0,0,0,0,1,0
1402647186906,1402647187406,0,0,0,0,0,0,0
1402647187406,1402647187906,0,0,0,0,0,2,0
1402647187906,1402647188406,0,0,0,0,0,0,2
1402647188406,1402647188906,0,0,0,0,0,0,1
1402647188906,1402647189406,0,0,0,1,0,0,2
1402647189406,1402647189906,0,0,0,1,0,0,1
1402647189906,1402647190406,0,0,0,8,0,0,0
1402647190406,1402647190906,0,0,0,0,0,0,3
1402647190906,1402647191406,0,0,0,0,0,0,1
1402647191406,1402647191906,0,0,0,0,0,0,1
1402647191906,1402647192406,0,0,0,0,1,0,1
1402647192406,1402647192906,0,0,0,0,0,0,0
1402647192906,1402647193406,1,0,0,0,0,0,0
1402647193406,1402647193906,0,0,0,0,0,0,2
1402647193906,1402647194406,0,0,0,0,0,1,0
1402647194406,1402647194906,0,0,0,0,1,1,0
1402647194906,1402647195406,0,0,0,0,0,0,0
1402647195406,1402647195906,0,0,0,0,0,0,0
1402647195906,1402647196406,0,0,0,0,0,0,2
1402647196406,1402647196906,0,0,0,0,0,0,1
1402647196906,1402647197406,0,0,0,0,0,0,1
1402647197406,1402647197906,0,0,0,0,1,0,1
1402647197906,1402647198406,0,0,0,0,0,1,1
1402647198406,1402647198906,0,0,0,0,1,2,0
1402647198906,1402647199406,0,0,0,0,0,1,0
1402647199406,1402647199906,0,0,0,0,1,0,1
1402647199906,1402647200406,1,0,0,0,0,0,1
1402647200406,1402647200906,0,1,0,0,0,0,0
1402647200906,1402647201406,3,0,0,0,0,0,1
1402647201406,1402647201906,5,0,0,0,0,0,0
1402647201906,1402647202406,2,0,0,0,0,0,1
1402647202406,1402647202906,0,0,0,1,0,0,2
1402647202906,1402647203406,0,0,0,9,0,0,0
1402647203406,1402647203906,0,0,0,2,0,0,0
1402647203906,1402647204406,1,0,0,0,0,0,0
1402647204406,1402647204906,1,1,0,0,0,0,1
1402647204906,1402647205406,0,0,0,2,0,0,1
1402647205406,1402647205906,0,0,0,4,0,0,0
1402647205906,1402647206406,0,0,0,2,0,0,0
1402647206406,1402647206906,3,0,0,0,0,0,1
1402647206906,1402647207406,2,0,0,0,0,0,1
1402647207406,1402647207906,0,0,0,0,0,0,2
1402647207906,1402647208406,0,1,0,0,0,1,0
1402647208406,1402647208906,0,0,0,1,0,2,0
1402647208906,1402647209406,0,0,0,1,0,0,1
1402647209406,1402647209906,0,0,0,4,0,0,1
1402647209906,1402647210406,0,0,0,8,0,0,0
1402647210406,1402647210906,0,0,0,2,0,0,0
1402647210906,1402647211406,3,0,0,0,0,0,0
1402647211406,1402647211906,0,2,0,0,0,0,0
1402647211906,1402647212406,4,0,0,0,0,0,0
1402647212406,1402647212906,4,0,0,0,0,0,0
1402647212906,1402647213406,1,0,0,1,0,0,2
1402647213406,1402647213906,0,0,0,1,0,0,2
