start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget,state
1402994657188,1402994657688,0,0,0,0,0,0,2,H1
1402994657688,1402994658188,2,0,0,0,0,0,0,H1
1402994658188,1402994658688,2,0,0,0,0,0,0,H1
1402994658688,1402994659188,0,0,0,0,0,0,2,H1
1402994659188,1402994659688,0,0,0,0,0,0,2,H1
1402994659688,1402994660188,0,0,0,0,1,0,1,H2
1402994660188,1402994660688,0,0,0,0,0,0,1,H1
1402994660688,1402994661188,0,0,0,0,0,1,1,H1
1402994661188,1402994661688,0,0,0,0,0,3,0,H1
1402994661688,1402994662188,0,0,0,0,0,3,0,H1
1402994662188,1402994662688,0,0,0,0,0,2,0,H1
1402994662688,1402994663188,0,0,0,0,0,1,1,H1
1402994663188,1402994663688,0,0,0,0,0,0,2,H1
1402994663688,1402994664188,0,0,0,0,0,0,2,H1
1402994664188,1402994664688,0,0,0,0,0,2,0,H1
1402994664688,1402994665188,0,0,0,0,0,0,2,H1
1402994665188,1402994665688,0,0,0,0,0,0,1,H1
1402994665688,1402994666188,0,0,0,0,0,0,1,H1
1402994666188,1402994666688,0,0,0,0,0,0,1,H1
1402994666688,1402994667188,0,0,0,0,0,0,0,H1
1402994667188,1402994667688,0,0,0,0,1,0,1,H2
1402994667688,1402994668188,0,0,0,0,0,2,0,H1
1402994668188,1402994668688,0,0,0,0,0,0,1,H1
1402994668688,1402994669188,1,0,0,0,0,0,3,H1
1402994669188,1402994669688,1,0,0,0,0,0,1,H1
1402994669688,1402994670188,4,0,0,0,0,0,0,H1
1402994670188,1402994670688,4,0,0,0,0,0,1,H1
1402994670688,1402994671188,2,0,1,1,0,0,1,H2
1402994671188,1402994671688,0,0,0,1,0,0,2,H0
1402994671688,1402994672188,0,1,0,0,0,0,3,H1
1402994672188,1402994672688,0,0,0,0,0,0,1,H1
1402994672688,1402994673188,0,0,0,0,1,0,1,H2
1402994673188,1402994673688,0,0,0,0,0,0,0,H1
1402994673688,1402994674188,0,0,0,0,0,0,3,H1
1402994674188,1402994674688,0,0,0,0,0,0,1,H1
1402994674688,1402994675188,0,0,0,0,0,0,3,H1
1402994675188,1402994675688,0,0,0,0,0,0,1,H1
1402994675688,1402994676188,0,0,0,0,0,0,2,H1
1402994676188,1402994676688,0,0,0,0,0,0,1,H1
1402994676688,1402994677188,0,0,0,0,0,0,0,H1
1402994677188,1402994677688,0,0,0,0,0,0,1,H1
1402994677688,1402994678188,0,0,0,0,0,0,1,H1
1402994678188,1402994678688,0,0,0,0,0,3,0,H1
1402994678688,1402994679188,0,0,0,0,0,2,0,H1
1402994679188,1402994679688,0,0,0,0,0,2,0,H1
1402994679688,1402994680188,0,0,0,0,1,0,2,H2
1402994680188,1402994680688,0,0,0,0,0,0,2,H1
1402994680688,1402994681188,0,0,0,0,0,0,1,H1
1402994681188,1402994681688,0,0,0,0,0,0,1,H1
1402994681688,1402994682188,1,0,1,0,0,0,0,H2
1402994682188,1402994682688,0,0,0,0,0,0,1,H1
1402994682688,1402994683188,0,0,0,0,0,0,2,H1
1402994683188,1402994683688,0,0,1,0,1,0,1,H2
1402994683688,1402994684188,1,0,0,0,0,0,2,H1
1402994684188,1402994684688,1,0,0,0,0,0,1,H1
1402994684688,1402994685188,1,0,0,0,0,0,2,H1
1402994685188,1402994685688,4,0,0,0,0,0,0,H1
1402994685688,1402994686188,0,1,0,0,0,0,0,H1
1402994686188,1402994686688,2,1,0,0,0,0,0,H1
1402994686688,1402994687188,4,0,0,0,0,0,1,H1
1402994687188,1402994687688,0,0,0,1,0,0,1,H0
1402994687688,1402994688188,0,0,0,7,0,0,2,H0
1402994688188,1402994688688,0,0,0,2,0,0,3,H0
1402994688688,1402994689188,0,0,0,1,0,0,2,H0
1402994689188,1402994689688,0,0,0,0,0,0,1,H1
1402994689688,1402994690188,0,0,1,0,0,1,2,H2
1402994690188,1402994690688,1,0,0,1,0,0,1,H0
1402994690688,1402994691188,0,0,0,0,0,0,0,H1
1402994691188,1402994691688,0,0,0,0,0,0,1,H1
1402994691688,1402994692188,1,1,0,0,0,0,0,H1
1402994692188,1402994692688,0,2,0,0,0,0,1,H1
1402994692688,1402994693188,0,1,0,0,0,0,0,H1
1402994693188,1402994693688,0,0,0,3,0,0,1,H0
1402994693688,1402994694188,1,0,0,2,0,0,0,H0
1402994694188,1402994694688,1,0,0,1,0,0,1,H0
1402994694688,1402994695188,1,0,0,0,0,0,0,H1
1402994695188,1402994695688,3,0,1,0,0,0,0,H2
1402994695688,1402994696188,1,0,0,0,0,0,2,H1
1402994696188,1402994696688,1,0,0,0,0,0,1,H1
1402994696688,1402994697188,1,0,0,0,0,0,1,H1
1402994697188,1402994697688,1,0,1,1,0,0,3,H2
1402994697688,1402994698188,0,0,0,2,0,0,2,H0
1402994698188,1402994698688,0,0,0,0,0,0,2,H1
1402994698688,1402994699188,1,0,0,0,0,0,2,H1
1402994699188,1402994699688,0,0,0,2,0,0,1,H0
1402994699688,1402994700188,0,0,0,0,0,3,0,H1
1402994700188,1402994700688,0,0,0,0,0,2,0,H1
1402994700688,1402994701188,0,0,0,0,0,2,0,H1
1402994701188,1402994701688,0,0,0,2,0,0,1,H0
1402994701688,1402994702188,0,0,0,1,0,0,0,H0
1402994702188,1402994702688,5,0,0,0,0,0,0,H1
1402994702688,1402994703188,6,0,0,0,0,0,1,H1
1402994703188,1402994703688,2,0,1,1,0,0,0,H2
1402994703688,1402994704188,0,1,0,0,0,0,1,H1
1402994704188,1402994704688,0,0,0,0,0,0,1,H1
1402994704688,1402994705188,0,0,0,0,0,0,1,H1
1402994705188,1402994705688,0,0,0,0,0,3,0,H1
1402994705688,1402994706188,0,0,0,0,0,1,0,H1
1402994706188,1402994706688,0,0,0,0,0,1,0,H1
1402994706688,1402994707188,0,0,0,0,0,3,0,H1
1402994707188,1402994707688,0,0,0,0,0,3,0,H1
